       Freq,     Re(Av),     Im(Av),     Re(Ai),     Im(Ai),     Re(Ap),     Im(Ap),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout)
  2.129e+06, -1.576e-03,  6.511e-03, -2.690e-02, -6.506e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.830e-02,  2.066e+02,  3.830e-02,  2.066e+02,        nan,        nan,        nan,        nan
  2.169e+06, -1.461e-03,  6.156e-03, -2.594e-02, -6.151e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.555e-02,  2.107e+02,  3.555e-02,  2.107e+02,        nan,        nan,        nan,        nan
  2.209e+06, -1.356e-03,  5.826e-03, -2.503e-02, -5.822e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.303e-02,  2.149e+02,  3.303e-02,  2.149e+02,        nan,        nan,        nan,        nan
  2.249e+06, -1.260e-03,  5.519e-03, -2.417e-02, -5.516e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.074e-02,  2.190e+02,  3.074e-02,  2.190e+02,        nan,        nan,        nan,        nan
  2.289e+06, -1.173e-03,  5.234e-03, -2.335e-02, -5.231e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.864e-02,  2.231e+02,  2.864e-02,  2.231e+02,        nan,        nan,        nan,        nan
  2.329e+06, -1.093e-03,  4.968e-03, -2.257e-02, -4.965e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.671e-02,  2.272e+02,  2.671e-02,  2.272e+02,        nan,        nan,        nan,        nan
  2.369e+06, -1.020e-03,  4.719e-03, -2.183e-02, -4.717e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.495e-02,  2.313e+02,  2.495e-02,  2.313e+02,        nan,        nan,        nan,        nan
  2.410e+06, -9.531e-04,  4.487e-03, -2.113e-02, -4.485e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.333e-02,  2.354e+02,  2.333e-02,  2.354e+02,        nan,        nan,        nan,        nan
  2.450e+06, -8.914e-04,  4.270e-03, -2.046e-02, -4.269e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.184e-02,  2.395e+02,  2.184e-02,  2.395e+02,        nan,        nan,        nan,        nan
  2.490e+06, -8.347e-04,  4.067e-03, -1.982e-02, -4.065e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.046e-02,  2.436e+02,  2.046e-02,  2.436e+02,        nan,        nan,        nan,        nan
